#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
aluminum_nak                                      ([no block])                                                                     = Eutectic NaK-Aluminum Mixture
aluminum_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Aluminum Mixture
silver_nak                                        ([no block])                                                                     = Eutectic NaK-Silver Mixture
silver_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Silver Mixture
fluorite                                          ([no block])                                                                     = Molten Fluorite
fluorite_nak                                      ([no block])                                                                     = Eutectic NaK-Fluorite Mixture
fluorite_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Fluorite Mixture
villiaumite                                       ([no block])                                                                     = Molten Villiaumite
villiaumite_nak                                   ([no block])                                                                     = Eutectic NaK-Villiaumite Mixture
villiaumite_nak_hot                               ([no block])                                                                     = Hot Eutectic NaK-Villiaumite Mixture
carobbiite                                        ([no block])                                                                     = Molten Carobbiite
carobbiite_nak                                    ([no block])                                                                     = Eutectic NaK-Carobbiite Mixture
carobbiite_nak_hot                                ([no block])                                                                     = Hot Eutectic NaK-Carobbiite Mixture
arsenic_nak                                       ([no block])                                                                     = Eutectic NaK-Arsenic Mixture
arsenic_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Arsenic Mixture
liquid_nitrogen_nak                               ([no block])                                                                     = Eutectic NaK-Nitrogen Mixture
liquid_nitrogen_nak_hot                           ([no block])                                                                     = Hot Eutectic NaK-Nitrogen Mixture
liquid_helium_nak                                 ([no block])                                                                     = Eutectic NaK-Helium Mixture
liquid_helium_nak_hot                             ([no block])                                                                     = Hot Eutectic NaK-Helium Mixture
enderium_nak                                      ([no block])                                                                     = Eutectic NaK-Enderium Mixture
enderium_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Enderium Mixture
cryotheum_nak                                     ([no block])                                                                     = Eutectic NaK-Cryotheum Mixture
cryotheum_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Cryotheum Mixture
oliveoil                                          (rustic:olive_oil)                                                               = Olive Oil
ironberryjuice                                    (rustic:ironberry_juice)                                                         = Ironberry Juice
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Wildberry Juice
grapejuice                                        (rustic:grape_juice)                                                             = Grape Juice
applejuice                                        (rustic:apple_juice)                                                             = Apple Juice
alewort                                           (rustic:ale_wort)                                                                = Ale Wort
ale                                               ([no block])                                                                     = Ale
cider                                             ([no block])                                                                     = Cider
ironwine                                          ([no block])                                                                     = Iron Wine
mead                                              ([no block])                                                                     = Mead
wildberrywine                                     ([no block])                                                                     = Wildberry Wine
wine                                              ([no block])                                                                     = Wine
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
exhauststeam                                      (immersivetech:exhauststeam)                                                     = Exhaust Steam
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
fluegas                                           (immersivetech:fluidfluegas)                                                     = Flue Gas
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
myst.ink.black                                    (mystcraft:fluidblockblackink)                                                   = Black Ink
insanium                                          (mysticaladaptations:molten_insanium)                                            = Insanium
xpjuice                                           ([no block])                                                                     = Liquid XP
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = Gasoline
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
cinderfire_wort                                   (rusticthaumaturgy:cinderfire_wort)                                              = Cinderfire Wort
shimmerdew_wort                                   (rusticthaumaturgy:shimmerdew_wort)                                              = Shimmerdew Wort
viscous_wort                                      (rusticthaumaturgy:viscous_wort)                                                 = Viscous Wort
cinderfire_whiskey                                (rusticthaumaturgy:cinderfire_whiskey)                                           = Cinderfire Whiskey
shimmerdew_spirits                                (rusticthaumaturgy:shimmerdew_spirits)                                           = Shimmerdew Spirits
viscous_brew                                      (rusticthaumaturgy:viscous_brew)                                                 = Viscous Brew
juniper_berry_juice                               (rusticwitchcraft:juniper_berry_juice)                                           = Juniper Spirit
elderberry_juice                                  (rusticwitchcraft:elderberry_juice)                                              = Elderberry Juice
wormwood_mixture                                  (rusticwitchcraft:wormwood_mixture)                                              = Wormwood Mixture
sage_juice                                        (rusticwitchcraft:sage_juice)                                                    = Sage Juice
gin                                               ([no block])                                                                     = Gin
elderberry_wine                                   ([no block])                                                                     = Elderberry Wine
sage_liqueur                                      ([no block])                                                                     = Sage Liqueur
soulshardsrespawn.corrupted                       ([no block])                                                                     = Molten Corruption
fluid_molten_aer                                  (thaumicrestoration:block_molten_aer)                                            = Molten Air Infused Thaumium
fluid_molten_ignis                                (thaumicrestoration:block_molten_ignis)                                          = Molten Fire Infused Thaumium
fluid_molten_aqua                                 (thaumicrestoration:block_molten_aqua)                                           = Molten Water Infused Thaumium
fluid_molten_terra                                (thaumicrestoration:block_molten_terra)                                          = Molten Earth Infused Thaumium
fluid_molten_ordo                                 (thaumicrestoration:block_molten_ordo)                                           = Molten Order Infused Thaumium
fluid_molten_perditio                             (thaumicrestoration:block_molten_perditio)                                       = Molten Entropy Infused Thaumium
gravitite                                         (tinkersaether:molten_gravitite)                                                 = Molten Gravitite
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = Molten Valkyrie Metal
ink                                               (immersiveintelligence:ink)                                                      = Ink
ink_cyan                                          (immersiveintelligence:ink_cyan)                                                 = Cyan Ink
ink_magenta                                       (immersiveintelligence:ink_magenta)                                              = Magenta Ink
ink_yellow                                        (immersiveintelligence:ink_yellow)                                               = Yellow Ink
etching_acid                                      (immersiveintelligence:etching_acid)                                             = Etching Acid
nitric_acid                                       (immersiveintelligence:nitric_acid)                                              = Nitric Acid
chlorine                                          (immersiveintelligence:chlorine)                                                 = Chlorine
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
raw_will                                          (bloodsmeltery:raw_will)                                                         = Demonic Will
corrosive_will                                    (bloodsmeltery:corrosive_will)                                                   = Corrosive Demonic Will
destructive_will                                  (bloodsmeltery:destructive_will)                                                 = Destructive Demonic Will
vengeful_will                                     (bloodsmeltery:vengeful_will)                                                    = Vengeful Demonic Will
steadfast_will                                    (bloodsmeltery:steadfast_will)                                                   = Steadfast Demonic Will
rune                                              (bloodsmeltery:rune)                                                             = Blood-Infused Stone
blood_glass                                       (bloodsmeltery:blood_glass)                                                      = Blood-Infused Glass
refined_life_essence                              (bloodarsenal:refined_life_essence)                                              = Refined Life Essence
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
fluid_quicksilver                                 (thaumicwonders:fluid_quicksilver)                                               = Quicksilver
pure_metal                                        ([no block])                                                                     = Pure Metal
uutils_oil                                        (uutils:uutils_oil)                                                              = Oil
uutils_fuel                                       (uutils:uutils_fuel)                                                             = Fuel
uutils_kerosine                                   (uutils:uutils_kerosine)                                                         = Kerosine
uutils_electrolyte                                (uutils:uutils_electrolyte)                                                      = Electrolyte
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
ec.internal.cleanuranium                          ([no block])                                                                     = Clean Uranium Slurry
ec.internal.uranium                               ([no block])                                                                     = Uranium Slurry
ec.internal.cleanyellorium                        ([no block])                                                                     = Clean Yellorium Slurry
ec.internal.yellorium                             ([no block])                                                                     = Yellorium Slurry
ec.internal.cleannickel                           ([no block])                                                                     = Clean Nickel Slurry
ec.internal.nickel                                ([no block])                                                                     = Nickel Slurry
ec.internal.cleanplatinum                         ([no block])                                                                     = Clean Platinum Slurry
ec.internal.platinum                              ([no block])                                                                     = Platinum Slurry
ec.internal.cleaniridium                          ([no block])                                                                     = Clean Iridium Slurry
ec.internal.iridium                               ([no block])                                                                     = Iridium Slurry
ec.internal.cleanmithril                          ([no block])                                                                     = Clean Mithril Slurry
ec.internal.mithril                               ([no block])                                                                     = Mithril Slurry
ec.internal.cleanaluminum                         ([no block])                                                                     = Clean Aluminum Slurry
ec.internal.aluminum                              ([no block])                                                                     = Aluminum Slurry
ec.internal.cleancobalt                           ([no block])                                                                     = Clean Cobalt Slurry
ec.internal.cobalt                                ([no block])                                                                     = Cobalt Slurry
ec.internal.cleanardite                           ([no block])                                                                     = Clean Ardite Slurry
ec.internal.ardite                                ([no block])                                                                     = Ardite Slurry
ec.internal.cleanastral_starmetal                 ([no block])                                                                     = Clean Starmetal Slurry
ec.internal.astral_starmetal                      ([no block])                                                                     = Starmetal Slurry
ec.internal.cleandraconium                        ([no block])                                                                     = Clean Draconium Slurry
ec.internal.draconium                             ([no block])                                                                     = Draconium Slurry
ec.internal.cleanberyllium                        ([no block])                                                                     = Clean Beryllium Slurry
ec.internal.beryllium                             ([no block])                                                                     = Beryllium Slurry
ec.internal.cleanboron                            ([no block])                                                                     = Clean Boron Slurry
ec.internal.boron                                 ([no block])                                                                     = Boron Slurry
ec.internal.cleanlithium                          ([no block])                                                                     = Clean Lithium Slurry
ec.internal.cleanmagnesium                        ([no block])                                                                     = Clean Magnesium Slurry
ec.internal.magnesium                             ([no block])                                                                     = Magnesium Slurry
ec.internal.cleanthorium                          ([no block])                                                                     = Clean Thorium Slurry
ec.internal.thorium                               ([no block])                                                                     = Thorium Slurry
ec.internal.cleanzirconium                        ([no block])                                                                     = Clean Zirconium Slurry
ec.internal.zirconium                             ([no block])                                                                     = Zirconium Slurry
ec.internal.cleantitanium                         ([no block])                                                                     = Clean Titanium Slurry
ec.internal.titanium                              ([no block])                                                                     = Titanium Slurry
ec.internal.cleandesh                             ([no block])                                                                     = Clean Desh Slurry
ec.internal.desh                                  ([no block])                                                                     = Desh Slurry
ec.internal.cleancarbon                           ([no block])                                                                     = Clean Carbon Slurry
ec.internal.carbon                                ([no block])                                                                     = Carbon Slurry
ec.internal.cleandark_iron                        ([no block])                                                                     = Clean Dark Iron Slurry
ec.internal.dark_iron                             ([no block])                                                                     = Dark Iron Slurry
ec.internal.cleantungsten                         ([no block])                                                                     = Clean Tungsten Slurry
ec.internal.tungsten                              ([no block])                                                                     = Tungsten Slurry
ec.internal.cleanzinc                             ([no block])                                                                     = Clean Zinc Slurry
ec.internal.zinc                                  ([no block])                                                                     = Zinc Slurry
ec.internal.cleanmercury                          ([no block])                                                                     = Clean Mercury Slurry
ec.internal.mercury                               ([no block])                                                                     = Mercury Slurry
ec.internal.cleanpalladium                        ([no block])                                                                     = Clean Palladium Slurry
ec.internal.palladium                             ([no block])                                                                     = Palladium Slurry
ec.internal.cleandilithium                        ([no block])                                                                     = Clean Dilithium Slurry
ec.internal.dilithium                             ([no block])                                                                     = Dilithium Slurry
ec.internal.cleanadamantine                       ([no block])                                                                     = Clean Adamantine Slurry
ec.internal.adamantine                            ([no block])                                                                     = Adamantine Slurry
ec.internal.cleanalduorite                        ([no block])                                                                     = Clean Alduorite Slurry
ec.internal.alduorite                             ([no block])                                                                     = Alduorite Slurry
ec.internal.cleanastral_silver                    ([no block])                                                                     = Clean Astral Silver Slurry
ec.internal.astral_silver                         ([no block])                                                                     = Astral Silver Slurry
ec.internal.cleanatlarus                          ([no block])                                                                     = Clean Atlarus Slurry
ec.internal.atlarus                               ([no block])                                                                     = Atlarus Slurry
ec.internal.cleancarmot                           ([no block])                                                                     = Clean Carmot Slurry
ec.internal.carmot                                ([no block])                                                                     = Carmot Slurry
ec.internal.cleanceruclase                        ([no block])                                                                     = Clean Ceruclase Slurry
ec.internal.ceruclase                             ([no block])                                                                     = Ceruclase Slurry
ec.internal.cleandeep_iron                        ([no block])                                                                     = Clean Deep Iron Slurry
ec.internal.deep_iron                             ([no block])                                                                     = Deep Iron Slurry
ec.internal.cleaneximite                          ([no block])                                                                     = Clean Eximite Slurry
ec.internal.eximite                               ([no block])                                                                     = Eximite Slurry
ec.internal.cleanignatius                         ([no block])                                                                     = Clean Ignatius Slurry
ec.internal.ignatius                              ([no block])                                                                     = Ignatius Slurry
ec.internal.cleaninfuscolium                      ([no block])                                                                     = Clean Infuscolium Slurry
ec.internal.infuscolium                           ([no block])                                                                     = Infuscolium Slurry
ec.internal.cleankalendrite                       ([no block])                                                                     = Clean Kalendrite Slurry
ec.internal.kalendrite                            ([no block])                                                                     = Kalendrite Slurry
ec.internal.cleanlemurite                         ([no block])                                                                     = Clean Lemurite Slurry
ec.internal.lemurite                              ([no block])                                                                     = Lemurite Slurry
ec.internal.cleanmanganese                        ([no block])                                                                     = Clean Manganese Slurry
ec.internal.manganese                             ([no block])                                                                     = Manganese Slurry
ec.internal.cleanmeutoite                         ([no block])                                                                     = Clean Meutoite Slurry
ec.internal.meutoite                              ([no block])                                                                     = Meutoite Slurry
ec.internal.cleanmidasium                         ([no block])                                                                     = Clean Midasium Slurry
ec.internal.midasium                              ([no block])                                                                     = Midasium Slurry
ec.internal.cleanorichalcum                       ([no block])                                                                     = Clean Orichalcum Slurry
ec.internal.orichalcum                            ([no block])                                                                     = Orichalcum Slurry
ec.internal.cleanoureclase                        ([no block])                                                                     = Clean Oureclase Slurry
ec.internal.oureclase                             ([no block])                                                                     = Oureclase Slurry
ec.internal.cleanprometheum                       ([no block])                                                                     = Clean Prometheum Slurry
ec.internal.prometheum                            ([no block])                                                                     = Prometheum Slurry
ec.internal.cleanrubracium                        ([no block])                                                                     = Clean Rubracium Slurry
ec.internal.rubracium                             ([no block])                                                                     = Rubracium Slurry
ec.internal.cleansanguinite                       ([no block])                                                                     = Clean Sanguinite Slurry
ec.internal.sanguinite                            ([no block])                                                                     = Sanguinite Slurry
ec.internal.cleanshadow_iron                      ([no block])                                                                     = Clean Shadow Iron Slurry
ec.internal.shadow_iron                           ([no block])                                                                     = Shadow Iron Slurry
ec.internal.cleanvulcanite                        ([no block])                                                                     = Clean Vulcanite Slurry
ec.internal.vulcanite                             ([no block])                                                                     = Vulcanite Slurry
ec.internal.cleanvyroxeres                        ([no block])                                                                     = Clean Vyroxeres Slurry
ec.internal.vyroxeres                             ([no block])                                                                     = Vyroxeres Slurry
ec.internal.cleantiberium                         ([no block])                                                                     = Clean Tiberium Slurry
ec.internal.tiberium                              ([no block])                                                                     = Tiberium Slurry
ec.internal.cleanaurorium                         ([no block])                                                                     = Clean Aurorium Slurry
ec.internal.aurorium                              ([no block])                                                                     = Aurorium Slurry
ec.internal.cleanduranite                         ([no block])                                                                     = Clean Duranite Slurry
ec.internal.duranite                              ([no block])                                                                     = Duranite Slurry
ec.internal.cleanvalyrium                         ([no block])                                                                     = Clean Valyrium Slurry
ec.internal.valyrium                              ([no block])                                                                     = Valyrium Slurry
ec.internal.cleanvibranium                        ([no block])                                                                     = Clean Vibranium Slurry
ec.internal.vibranium                             ([no block])                                                                     = Vibranium Slurry
ec.internal.cleankarmesine                        ([no block])                                                                     = Clean Karmesine Slurry
ec.internal.karmesine                             ([no block])                                                                     = Karmesine Slurry
ec.internal.cleanovium                            ([no block])                                                                     = Clean Ovium Slurry
ec.internal.ovium                                 ([no block])                                                                     = Ovium Slurry
ec.internal.cleanjauxum                           ([no block])                                                                     = Clean Jauxum Slurry
ec.internal.jauxum                                ([no block])                                                                     = Jauxum Slurry
ec.internal.cleanuru                              ([no block])                                                                     = Clean Uru Slurry
ec.internal.uru                                   ([no block])                                                                     = Uru Slurry
ec.internal.cleanosram                            ([no block])                                                                     = Clean Osram Slurry
ec.internal.osram                                 ([no block])                                                                     = Osram Slurry
ec.internal.cleaneezo                             ([no block])                                                                     = Clean Eezo Slurry
ec.internal.eezo                                  ([no block])                                                                     = Eezo Slurry
ec.internal.cleanabyssum                          ([no block])                                                                     = Clean Abyssum Slurry
ec.internal.abyssum                               ([no block])                                                                     = Abyssum Slurry
ec.internal.cleanvanadium                         ([no block])                                                                     = Clean Vanadium Slurry
ec.internal.vanadium                              ([no block])                                                                     = Vanadium Slurry
ec.internal.cleanbaronyte                         ([no block])                                                                     = Clean Baronyte Slurry
ec.internal.baronyte                              ([no block])                                                                     = Baronyte Slurry
ec.internal.cleanblazium                          ([no block])                                                                     = Clean Blazium Slurry
ec.internal.blazium                               ([no block])                                                                     = Blazium Slurry
ec.internal.cleanelecanium                        ([no block])                                                                     = Clean Elecanium Slurry
ec.internal.elecanium                             ([no block])                                                                     = Elecanium Slurry
ec.internal.cleanemberstone                       ([no block])                                                                     = Clean Emberstone Slurry
ec.internal.emberstone                            ([no block])                                                                     = Emberstone Slurry
ec.internal.cleanghastly                          ([no block])                                                                     = Clean Ghastly Slurry
ec.internal.ghastly                               ([no block])                                                                     = Ghastly Slurry
ec.internal.cleanghoulish                         ([no block])                                                                     = Clean Ghoulish Slurry
ec.internal.ghoulish                              ([no block])                                                                     = Ghoulish Slurry
ec.internal.cleanlimonite                         ([no block])                                                                     = Clean Limonite Slurry
ec.internal.limonite                              ([no block])                                                                     = Limonite Slurry
ec.internal.cleanlyon                             ([no block])                                                                     = Clean Lyon Slurry
ec.internal.lyon                                  ([no block])                                                                     = Lyon Slurry
ec.internal.cleanmystite                          ([no block])                                                                     = Clean Mystite Slurry
ec.internal.mystite                               ([no block])                                                                     = Mystite Slurry
ec.internal.cleanrosite                           ([no block])                                                                     = Clean Rosite Slurry
ec.internal.rosite                                ([no block])                                                                     = Rosite Slurry
ec.internal.cleanshyrestone                       ([no block])                                                                     = Clean Shyrestone Slurry
ec.internal.shyrestone                            ([no block])                                                                     = Shyrestone Slurry
ec.internal.cleanvarsium                          ([no block])                                                                     = Clean Varsium Slurry
ec.internal.varsium                               ([no block])                                                                     = Varsium Slurry
ec.internal.cleantritanium                        ([no block])                                                                     = Clean Tritanium Slurry
ec.internal.tritanium                             ([no block])                                                                     = Tritanium Slurry
ec.internal.cleanlutetium                         ([no block])                                                                     = Clean Lutetium Slurry
ec.internal.lutetium                              ([no block])                                                                     = Lutetium Slurry
